exec_processes,exec_paths,num_execs,num_unique_execs,num_dns_queries,num_udp_packets,label
,,0,0,56,69,0
,,0,0,78,105,0
,,0,0,79,126,0
,,0,0,85,107,0
,,0,0,77,106,0
,,0,0,21,60,0
,,0,0,79,130,0
,,0,0,78,100,0
,,0,0,78,125,0
,,0,0,77,103,0
,,0,0,79,126,0
,,0,0,79,100,0
,,0,0,78,99,0
,,0,0,78,110,0
,,0,0,71,92,0
,,0,0,80,110,0
,,0,0,80,112,0
,,0,0,80,101,0
,,0,0,79,125,0
,,0,0,78,129,0
livekd64.exe,C:\Users\ADMINI~1\AppData\Local\Temp\livekd64.exe,1,1,63,102,0
,,0,0,71,118,0
,,0,0,79,126,0
,,0,0,73,104,0
,,0,0,78,99,0
,,0,0,79,105,0
,,0,0,86,107,0
,,0,0,70,101,0
,,0,0,80,112,0
,,0,0,80,126,0
,,0,0,71,92,0
,,0,0,78,109,0
,,0,0,78,99,0
,,0,0,86,117,0
,,0,0,78,108,0
,,0,0,77,105,0
,,0,0,72,123,0
,,0,0,72,117,0
,,0,0,78,125,0
,,0,0,72,124,0
,,0,0,79,109,0
,,0,0,72,124,0
,,0,0,72,115,0
,,0,0,80,110,0
,,0,0,78,125,0
,,0,0,79,109,0
,,0,0,71,92,0
,,0,0,72,102,0
,,0,0,80,101,0
Listdlls64.exe,C:\Users\ADMINI~1\AppData\Local\Temp\Listdlls64.exe,1,1,78,125,0
Sysmon.exe,C:\Users\ADMINI~1\AppData\Local\Temp\SYS373378779\Sysmon.exe,1,1,79,131,0
,,0,0,78,108,0
,,0,0,78,99,0
,,0,0,78,99,0
,,0,0,89,110,0
,,0,0,80,111,0
,,0,0,79,126,0
,,0,0,78,124,0
,,0,0,72,94,0
,,0,0,77,123,0
,,0,0,78,105,0
,,0,0,70,91,0
,,0,0,72,103,0
,,0,0,79,100,0
,,0,0,79,109,0
,,0,0,72,104,0
,,0,0,26,38,0
,,0,0,77,129,0
,,0,0,21,50,0
,,0,0,71,118,0
,,0,0,78,99,0
,,0,0,42,54,0
,,0,0,79,100,0
,,0,0,77,98,0
,,0,0,86,107,0
,,0,0,80,126,0
,,0,0,71,118,0
,,0,0,92,138,0
,,0,0,78,104,0
,,0,0,92,122,0
,,0,0,78,130,0
,,0,0,78,109,0
,,0,0,78,125,0
,,0,0,78,99,0
,,0,0,78,130,0
,,0,0,78,99,0
,,0,0,78,108,0
,,0,0,78,99,0
,,0,0,80,132,0
,,0,0,77,105,0
,,0,0,72,103,0
,,0,0,71,97,0
,,0,0,79,109,0
,,0,0,80,126,0
,,0,0,80,101,0
,,0,0,78,99,0
,,0,0,71,92,0
,,0,0,80,126,0
,,0,0,93,119,0
,,0,0,80,101,0
,,0,0,77,108,0
,,0,0,78,109,0
,,0,0,94,145,0
,,0,0,72,105,0
,,0,0,71,92,0
,,0,0,92,113,0
,,0,0,77,124,0
,,0,0,77,106,0
procexp64.exe,C:\Users\ADMINI~1\AppData\Local\Temp\procexp64.exe,1,1,72,119,0
,,0,0,80,111,0
,,0,0,79,100,0
,,0,0,73,105,0
,,0,0,78,125,0
,,0,0,72,115,0
,,0,0,78,124,0
,,0,0,71,118,0
,,0,0,78,108,0
,,0,0,89,123,0
,,0,0,79,125,0
,,0,0,77,98,0
,,0,0,49,61,0
,,0,0,77,99,0
,,0,0,79,110,0
,,0,0,77,105,0
,,0,0,79,109,0
audacity-win-3.7.3-32bit.tmp,C:\Users\ADMINI~1\AppData\Local\Temp\is-IRV85.tmp\audacity-win-3.7.3-32bit.tmp,1,1,80,110,0
,,0,0,78,130,0
,,0,0,63,75,0
Coreinfo64.exe,C:\Users\ADMINI~1\AppData\Local\Temp\Coreinfo64.exe,1,1,47,59,0
,,0,0,79,130,0
,,0,0,79,126,0
,,0,0,78,99,0
,,0,0,79,109,0
,,0,0,77,107,0
,,0,0,79,125,0
,,0,0,77,98,0
,,0,0,71,92,0
,,0,0,78,99,0
,,0,0,78,109,0
,,0,0,77,99,0
,,0,0,79,111,0
,,0,0,72,103,0
,,0,0,79,109,0
,,0,0,79,124,0
,,0,0,80,110,0
,,0,0,80,127,0
,,0,0,78,99,0
,,0,0,78,110,0
,,0,0,78,125,0
,,0,0,72,105,0
,,0,0,77,98,0
,,0,0,72,116,0
,,0,0,78,125,0
,,0,0,91,112,0
,,0,0,79,100,0
,,0,0,71,118,0
,,0,0,71,93,0
,,0,0,79,100,0
,,0,0,79,100,0
,,0,0,79,109,0
,,0,0,78,104,0
,,0,0,78,111,0
,,0,0,71,93,0
,,0,0,72,103,0
,,0,0,70,121,0
,,0,0,79,106,0
,,0,0,78,130,0
,,0,0,71,122,0
,,0,0,79,105,0
,,0,0,79,126,0
,,0,0,79,101,0
,,0,0,78,125,0
,,0,0,71,101,0
,,0,0,79,125,0
,,0,0,79,112,0
,,0,0,79,109,0
,,0,0,79,100,0
,,0,0,79,126,0
,,0,0,70,91,0
,,0,0,42,80,0
,,0,0,78,125,0
,,0,0,77,124,0
,,0,0,79,100,0
,,0,0,72,98,0
,,0,0,21,34,0
,,0,0,72,103,0
,,0,0,79,122,0
,,0,0,77,108,0
,,0,0,72,93,0
,,0,0,80,101,0
,,0,0,78,125,0
,,0,0,78,99,0
,,0,0,63,98,0
,,0,0,79,105,0
,,0,0,77,98,0
,,0,0,70,121,0
,,0,0,63,81,0
,,0,0,92,123,0
,,0,0,79,100,0
,,0,0,78,124,0
,,0,0,71,118,0
,,0,0,71,123,0
,,0,0,79,100,0
,,0,0,92,123,0
,,0,0,78,130,0
,,0,0,78,99,0
,,0,0,79,101,0
,,0,0,77,98,0
,,0,0,78,99,0
,,0,0,79,111,0
,,0,0,45,68,0
,,0,0,79,126,0
,,0,0,21,33,0
,,0,0,72,98,0
,,0,0,77,98,0
,,0,0,79,125,0
,,0,0,79,100,0
,,0,0,21,42,0
be4e345e6b82e8092455aa56c64030709c290a0c3fa5b95eca2203da9708df66.tmp,C:\Users\ADMINI~1\AppData\Local\Temp\is-5Q7P2.tmp\be4e345e6b82e8092455aa56c64030709c290a0c3fa5b95eca2203da9708df66.tmp,1,1,78,99,0
,,0,0,70,91,0
,,0,0,63,81,0
,,0,0,79,126,0
,,0,0,71,92,0
,,0,0,78,105,0
,,0,0,79,100,0
Git-2.49.0-64-bit.tmp,C:\Users\ADMINI~1\AppData\Local\Temp\is-6SA5G.tmp\Git-2.49.0-64-bit.tmp,1,1,82,103,0
,,0,0,78,109,0
,,0,0,78,99,0
,,0,0,79,100,0
,,0,0,94,124,0
,,0,0,79,109,0
,,0,0,79,125,0
,,0,0,79,100,0
,,0,0,79,100,0
,,0,0,79,100,0
,,0,0,77,103,0
,,0,0,77,121,0
,,0,0,77,117,0
,,0,0,78,99,0
,,0,0,78,105,0
,,0,0,78,125,0
,,0,0,72,119,0
,,0,0,78,108,0
,,0,0,71,118,0
,,0,0,72,119,0
,,0,0,79,111,0
,,0,0,78,99,0
,,0,0,77,98,0
,,0,0,79,100,0
,,0,0,77,98,0
,,0,0,72,98,0
,,0,0,79,100,0
,,0,0,70,112,0
,,0,0,79,101,0
,,0,0,78,110,0
,,0,0,94,115,0
,,0,0,78,99,0
,,0,0,77,104,0
,,0,0,72,102,0
,,0,0,78,121,0
,,0,0,78,129,0
,,0,0,78,108,0
,,0,0,78,124,0
,,0,0,71,102,0
,,0,0,79,125,0
,,0,0,79,100,0
,,0,0,80,126,0
,,0,0,78,109,0
,,0,0,79,131,0
,,0,0,93,139,0
handle64.exe,C:\Users\ADMINI~1\AppData\Local\Temp\handle64.exe,1,1,77,98,0
,,0,0,78,124,0
,,0,0,79,105,0
,,0,0,79,126,0
,,0,0,80,112,0
,,0,0,70,91,0
,,0,0,79,109,0
,,0,0,79,100,0
,,0,0,72,103,0
,,0,0,78,99,0
,,0,0,63,75,0
,,0,0,78,99,0
,,0,0,93,123,0
,,0,0,77,107,0
,,0,0,92,144,0
,,0,0,72,119,0
,,0,0,70,96,0
,,0,0,80,107,0
,,0,0,79,101,0
,,0,0,93,114,0
,,0,0,80,126,0
,,0,0,79,109,0
,,0,0,71,115,0
,,0,0,79,100,0
,,0,0,78,124,0
,,0,0,78,124,0
,,0,0,72,103,0
,,0,0,78,124,0
,,0,0,79,126,0
,,0,0,79,100,0
,,0,0,79,124,0
,,0,0,77,105,0
,,0,0,77,99,0
,,0,0,56,69,0
,,0,0,77,103,0
,,0,0,78,129,0
,,0,0,79,126,0
,,0,0,78,125,0
,,0,0,78,99,0
,,0,0,77,98,0
,,0,0,80,101,0
,,0,0,78,108,0
,,0,0,78,100,0
,,0,0,78,130,0
,,0,0,77,99,0
,,0,0,72,104,0
,,0,0,70,113,0
,,0,0,78,129,0
,,0,0,78,124,0
,,0,0,79,126,0
,,0,0,79,100,0
,,0,0,78,99,0
,,0,0,79,100,0
,,0,0,78,125,0
,,0,0,71,122,0
,,0,0,71,123,0
,,0,0,78,124,0
,,0,0,79,105,0
,,0,0,77,104,0
,,0,0,78,110,0
,,0,0,79,100,0
,,0,0,78,124,0
,,0,0,79,100,0
,,0,0,79,131,0
,,0,0,70,114,0
,,0,0,93,114,0
,,0,0,78,122,0
,,0,0,71,97,0
,,0,0,72,119,0
,,0,0,78,100,0
,,0,0,49,88,0
,,0,0,79,126,0
,,0,0,77,98,0
,,0,0,77,107,0
,,0,0,72,94,0
,,0,0,78,125,0
,,0,0,80,126,0
,,0,0,78,109,0
,,0,0,72,119,0
,,0,0,79,111,0
,,0,0,80,101,0
,,0,0,71,93,0
,,0,0,80,110,0
,,0,0,82,103,0
,,0,0,77,107,0
,,0,0,79,100,0
,,0,0,71,93,0
,,0,0,79,100,0
,,0,0,80,110,0
,,0,0,71,122,0
,,0,0,72,104,0
,,0,0,78,129,0
,,0,0,21,39,0
,,0,0,79,100,0
,,0,0,78,104,0
,,0,0,77,123,0
,,0,0,71,123,0
,,0,0,93,114,0
,,0,0,78,129,0
,,0,0,72,119,0
,,0,0,79,105,0
,,0,0,84,105,0
,,0,0,79,110,0
,,0,0,78,99,0
,,0,0,79,100,0
,,0,0,78,125,0
,,0,0,79,126,0
,,0,0,71,102,0
,,0,0,79,106,0
,,0,0,79,109,0
,,0,0,72,98,0
,,0,0,78,108,0
,,0,0,79,101,0
,,0,0,79,126,0
,,0,0,77,98,0
,,0,0,78,99,0
,,0,0,79,126,0
,,0,0,78,124,0
,,0,0,78,125,0
,,0,0,78,99,0
,,0,0,79,105,0
,,0,0,79,100,0
,,0,0,79,131,0
,,0,0,78,124,0
,,0,0,77,98,0
,,0,0,71,122,0
,,0,0,78,125,0
,,0,0,78,108,0
,,0,0,78,104,0
,,0,0,78,108,0
,,0,0,72,98,0
,,0,0,79,100,0
,,0,0,78,125,0
8d8491cb71fb375f6509a6521c09f685368530ba2eed68abc8cab2f45828a65e.tmp,C:\Users\ADMINI~1\AppData\Local\Temp\is-887B3.tmp\8d8491cb71fb375f6509a6521c09f685368530ba2eed68abc8cab2f45828a65e.tmp,1,1,78,100,0
,,0,0,79,109,0
,,0,0,79,123,0
,,0,0,71,123,0
,,0,0,71,122,0
,,0,0,80,101,0
,,0,0,79,106,0
,,0,0,71,92,0
,,0,0,77,98,0
,,0,0,79,100,0
,,0,0,79,126,0
,,0,0,79,100,0
,,0,0,79,126,0
,,0,0,78,99,0
,,0,0,78,125,0
,,0,0,78,99,0
,,0,0,72,103,0
,,0,0,63,105,0
,,0,0,85,107,0
,,0,0,79,126,0
,,0,0,78,111,0
,,0,0,80,101,0
,,0,0,79,106,0
,,0,0,78,99,0
,,0,0,77,98,0
,,0,0,79,110,0
,,0,0,79,106,0
,,0,0,78,99,0
,,0,0,71,123,0
,,0,0,78,124,0
,,0,0,92,119,0
,,0,0,77,98,0
,,0,0,77,98,0
,,0,0,78,124,0
,,0,0,70,91,0
,,0,0,80,101,0
,,0,0,77,109,0
,,0,0,78,124,0
,,0,0,79,101,0
,,0,0,78,110,0
,,0,0,79,126,0
,,0,0,79,100,0
,,0,0,71,92,0
,,0,0,79,108,0
,,0,0,79,109,0
,,0,0,78,99,0
,,0,0,93,125,0
,,0,0,78,99,0
,,0,0,78,129,0
,,0,0,79,100,0
,,0,0,80,101,0
,,0,0,71,92,0
,,0,0,80,127,0
,,0,0,78,109,0
,,0,0,78,99,0
,,0,0,77,103,0
,,0,0,71,92,0
,,0,0,78,125,0
,,0,0,71,118,0
,,0,0,77,98,0
,,0,0,79,126,0
,,0,0,80,101,0
,,0,0,93,123,0
,,0,0,78,99,0
,,0,0,80,125,0
,,0,0,78,125,0
,,0,0,73,104,0
,,0,0,79,100,0
,,0,0,78,99,0
,,0,0,71,123,0
,,0,0,80,125,0
,,0,0,72,103,0
,,0,0,71,114,0
,,0,0,80,106,0
,,0,0,79,109,0
,,0,0,70,114,0
,,0,0,70,91,0
,,0,0,80,101,0
,,0,0,72,118,0
,,0,0,78,108,0
,,0,0,78,99,0
,,0,0,79,105,0
,,0,0,70,96,0
,,0,0,79,100,0
,,0,0,77,124,0
,,0,0,21,30,0
,,0,0,79,125,0
,,0,0,79,101,0
,,0,0,77,129,0
,,0,0,80,127,0
,,0,0,70,91,0
,,0,0,78,104,0
,,0,0,78,99,0
,,0,0,78,99,0
,,0,0,79,110,0
,,0,0,71,103,0
,,0,0,79,110,0
,,0,0,77,123,0
,,0,0,78,124,0
,,0,0,92,113,0
,,0,0,79,109,0
,,0,0,78,100,0
,,0,0,78,125,0
,,0,0,87,134,0
,,0,0,70,91,0
,,0,0,78,99,0
,,0,0,78,109,0
,,0,0,78,125,0
,,0,0,80,110,0
,,0,0,72,119,0
,,0,0,93,139,0
,,0,0,70,91,0
,,0,0,79,100,0
,,0,0,78,99,0
,,0,0,21,43,0
,,0,0,78,108,0
,,0,0,70,113,0
,,0,0,79,109,0
,,0,0,92,113,0
,,0,0,79,105,0
,,0,0,78,106,0
,,0,0,70,122,0
,,0,0,92,139,0
,,0,0,79,100,0
,,0,0,78,104,0
,,0,0,78,124,0
,,0,0,79,107,0
,,0,0,71,93,0
Au_.exe,C:\Users\ADMINI~1\AppData\Local\Temp\~nsu.tmp\Au_.exe,1,1,78,99,0
,,0,0,71,109,0
,,0,0,79,109,0
,,0,0,79,109,0
,,0,0,77,104,0
,,0,0,70,117,0
,,0,0,79,123,0
,,0,0,72,124,0
,,0,0,72,93,0
,,0,0,80,107,0
,,0,0,114,341,0
,,0,0,79,131,0
,,0,0,79,105,0
,,0,0,71,92,0
,,0,0,72,103,0
,,0,0,80,106,0
,,0,0,77,107,0
,,0,0,80,101,0
,,0,0,78,124,0
,,0,0,77,98,0
,,0,0,79,126,0
,,0,0,79,111,0
,,0,0,71,92,0
,,0,0,80,101,0
,,0,0,78,99,0
,,0,0,79,105,0
,,0,0,78,99,0
,,0,0,79,125,0
,,0,0,78,108,0
,,0,0,79,100,0
,,0,0,86,119,0
,,0,0,79,100,0
,,0,0,85,132,0
,,0,0,79,126,0
,,0,0,78,100,0
,,0,0,96,126,0
,,0,0,79,100,0
,,0,0,93,120,0
,,0,0,78,99,0
,,0,0,77,98,0
,,0,0,79,126,0
,,0,0,71,103,0
,,0,0,21,35,0
,,0,0,72,119,0
